# IncludedObjects
# Cgfs: 6, Materials: 0, Palettes: 1, Placements: 7

[CGFs]
      0: data/objects/vehicles/grin/mxc/ext/grin_mtc_glows_01.cgf
      1: objects/vehicles/grin/mdc/ext/grin_mdc_glows_03_rear.cgf
      2: objects/vehicles/grin/mxc/ext/grin_mtc_glows_02.cgf
      3: objects/vehicles/grin/mxc/ext/grin_mtc_glows_02_rear.cgf
      4: objects/vehicles/grin/mdc/ext/grin_mdc_glows_03.cgf
      5: data/objects/vehicles/grin/mxc/ext/grin_mxc_headlight.cgf

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/brand/grin/mtc/grin_mtc_default

[Placements]
  #0 data/objects/vehicles/grin/mxc/ext/grin_mtc_glows_01.cgf
    [1, 0, 0, 0]
    [0, 1, 0, 3.0910329999999999]
    [0, 0, 1, 0.584457]
  #1 objects/vehicles/grin/mdc/ext/grin_mdc_glows_03_rear.cgf
    [1, 0, 0, 0]
    [0, 1, 0, -3.5]
    [0, 0, 1, 0.25]
  #2 objects/vehicles/grin/mxc/ext/grin_mtc_glows_02.cgf
    [1, 0, 0, 0]
    [0, 1, 0, 3.0910329999999999]
    [0, 0, 1, 0.584457]
  #3 objects/vehicles/grin/mxc/ext/grin_mtc_glows_02.cgf
    [1, 0, 0, 0]
    [0, 1, 0, 3.0910329999999999]
    [0, 0, 1, 0.584457]
  #4 objects/vehicles/grin/mxc/ext/grin_mtc_glows_02_rear.cgf
    [1, 0, 0, 0]
    [0, 1, 0, -3.5]
    [0, 0, 1, 0.25]
  #5 objects/vehicles/grin/mdc/ext/grin_mdc_glows_03.cgf
    [1, 0, 0, 0]
    [0, 1, 0, -3.5]
    [0, 0, 1, 0.25]
  #6 data/objects/vehicles/grin/mxc/ext/grin_mxc_headlight.cgf
    [1, 0, 0, 0]
    [0, 1, 0, 3.1000000000000001]
    [0, 0, 1, 0.57499999999999996]
